Voronoi_Region,POI_Count,Transportation Facilities,Leisure & Entertainment,Companies & Enterprises,Healthcare,Commercial & Residential,Tourist Attractions,Automotive,Life Services,Science & Education & Culture,Shopping & Consumer Goods,Sports & Fitness,Hotels & Accommodations,Financial Institutions,Dining & Cuisine
727,421,0.035629453681710214,0.007125890736342043,0.2589073634204275,0.007125890736342043,0.0498812351543943,0.009501187648456057,0.14489311163895488,0.10688836104513064,0.047505938242280284,0.171021377672209,0.0023752969121140144,0.009501187648456057,0.0023752969121140144,0.14726840855106887
728,1422,0.029535864978902954,0.009845288326300985,0.16877637130801687,0.034458509142053444,0.03867791842475387,0.006329113924050633,0.01617440225035162,0.14838255977496484,0.027426160337552744,0.24542897327707455,0.0028129395218002813,0.07313642756680731,0.004219409282700422,0.19479606188466947
729,719,0.02086230876216968,0.022253129346314324,0.21696801112656466,0.03616133518776078,0.030598052851182198,0.006954102920723227,0.030598052851182198,0.13073713490959665,0.02920723226703755,0.2614742698191933,0.006954102920723227,0.06258692628650904,0.004172461752433936,0.1404728789986092
730,1870,0.02085561497326203,0.012834224598930482,0.1358288770053476,0.04331550802139037,0.026737967914438502,0.006417112299465241,0.019251336898395723,0.16737967914438504,0.025133689839572194,0.33796791443850266,0.0037433155080213902,0.052406417112299465,0.0032085561497326204,0.1449197860962567
731,3035,0.0214168039538715,0.003953871499176277,0.16705107084019769,0.021746293245469523,0.014168039538714991,0.00032948929159802305,0.013509060955518945,0.10675453047775947,0.014168039538714991,0.49522240527182865,0.0016474464579901153,0.037232289950576605,0.003953871499176277,0.09884678747940692
732,1735,0.009221902017291067,0.004034582132564841,0.17406340057636888,0.022478386167146973,0.02190201729106628,0.005763688760806916,0.04207492795389049,0.13487031700288185,0.022478386167146973,0.3561959654178674,0.008069164265129682,0.04380403458213256,0.006340057636887608,0.14870317002881844
733,451,0.024390243902439025,0.008869179600886918,0.15299334811529933,0.037694013303769404,0.031042128603104215,0.0022172949002217295,0.10199556541019955,0.1662971175166297,0.04212860310421286,0.25055432372505543,0.015521064301552107,0.0066518847006651885,0.015521064301552107,0.14412416851441243
734,1175,0.02553191489361702,0.011914893617021277,0.15319148936170213,0.05446808510638298,0.02893617021276596,0.000851063829787234,0.03148936170212766,0.14042553191489363,0.03404255319148936,0.2731914893617021,0.006808510638297872,0.02893617021276596,0.006808510638297872,0.20340425531914894
735,306,0.00980392156862745,0.006535947712418301,0.31699346405228757,0.006535947712418301,0.05555555555555555,0.006535947712418301,0.08496732026143791,0.11437908496732026,0.026143790849673203,0.20261437908496732,0.013071895424836602,0.016339869281045753,0.0032679738562091504,0.13725490196078433
736,804,0.05472636815920398,0.033582089552238806,0.07338308457711443,0.012437810945273632,0.017412935323383085,0.06840796019900497,0.014925373134328358,0.08582089552238806,0.024875621890547265,0.21144278606965175,0.0472636815920398,0.16293532338308458,0.0,0.1927860696517413
737,598,0.01839464882943144,0.011705685618729096,0.4782608695652174,0.016722408026755852,0.030100334448160536,0.006688963210702341,0.04180602006688963,0.09866220735785954,0.028428093645484948,0.14715719063545152,0.010033444816053512,0.013377926421404682,0.0016722408026755853,0.09698996655518395
738,355,0.14084507042253522,0.016901408450704224,0.09577464788732394,0.011267605633802818,0.03943661971830986,0.005633802816901409,0.11549295774647887,0.04788732394366197,0.005633802816901409,0.061971830985915494,0.005633802816901409,0.27887323943661974,0.0028169014084507044,0.17183098591549295
739,812,0.06527093596059114,0.01600985221674877,0.21551724137931033,0.022167487684729065,0.03940886699507389,0.0012315270935960591,0.05665024630541872,0.13916256157635468,0.046798029556650245,0.1145320197044335,0.020935960591133004,0.038177339901477834,0.006157635467980296,0.21798029556650247
740,442,0.011312217194570135,0.011312217194570135,0.40271493212669685,0.00904977375565611,0.04524886877828054,0.013574660633484163,0.058823529411764705,0.11085972850678733,0.042986425339366516,0.16968325791855204,0.004524886877828055,0.00904977375565611,0.004524886877828055,0.10633484162895927
741,565,0.02831858407079646,0.007079646017699115,0.40707964601769914,0.023008849557522124,0.02831858407079646,0.0017699115044247787,0.03716814159292035,0.11327433628318584,0.02654867256637168,0.1504424778761062,0.0035398230088495575,0.03008849557522124,0.007079646017699115,0.13628318584070798
742,259,0.1969111969111969,0.0,0.011583011583011582,0.007722007722007722,0.003861003861003861,0.007722007722007722,0.019305019305019305,0.09652509652509653,0.007722007722007722,0.47104247104247104,0.0,0.023166023166023165,0.023166023166023165,0.13127413127413126
743,123,0.008130081300813009,0.032520325203252036,0.3983739837398374,0.016260162601626018,0.06504065040650407,0.0,0.016260162601626018,0.08130081300813008,0.032520325203252036,0.13821138211382114,0.0,0.008130081300813009,0.0,0.2032520325203252
744,142,0.02112676056338028,0.06338028169014084,0.30985915492957744,0.014084507042253521,0.035211267605633804,0.028169014084507043,0.04225352112676056,0.09859154929577464,0.028169014084507043,0.18309859154929578,0.056338028169014086,0.0,0.0,0.11971830985915492
745,171,0.19298245614035087,0.0,0.08187134502923976,0.029239766081871343,0.023391812865497075,0.0,0.06432748538011696,0.1111111111111111,0.023391812865497075,0.24561403508771928,0.023391812865497075,0.05263157894736842,0.017543859649122806,0.13450292397660818
746,21,0.0,0.047619047619047616,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.0,0.09523809523809523
747,165,0.006060606060606061,0.01818181818181818,0.296969696969697,0.048484848484848485,0.01818181818181818,0.030303030303030304,0.05454545454545454,0.14545454545454545,0.04242424242424243,0.21818181818181817,0.006060606060606061,0.030303030303030304,0.012121212121212121,0.07272727272727272
748,372,0.05913978494623656,0.0,0.15591397849462366,0.026881720430107527,0.06989247311827956,0.010752688172043012,0.016129032258064516,0.2956989247311828,0.021505376344086023,0.03494623655913978,0.002688172043010753,0.12634408602150538,0.0,0.18010752688172044
749,486,0.06584362139917696,0.00823045267489712,0.12757201646090535,0.01440329218106996,0.04526748971193416,0.00823045267489712,0.07407407407407407,0.21193415637860083,0.00823045267489712,0.13786008230452676,0.006172839506172839,0.06584362139917696,0.006172839506172839,0.22016460905349794
750,210,0.02857142857142857,0.009523809523809525,0.20952380952380953,0.0380952380952381,0.01904761904761905,0.03333333333333333,0.15714285714285714,0.12857142857142856,0.01904761904761905,0.09523809523809523,0.009523809523809525,0.1380952380952381,0.004761904761904762,0.10952380952380952
